severidad,modulo,archivo,linea,tipo,descripcion_tecnica,impacto,solucion_propuesta
"Crítico","Core","lib/config/environment_config.dart","20-36","Seguridad/OWASP","API base URL usa HTTP por defecto; permite tráfico en claro (MITM)","Compromiso de credenciales/tokens y suplantación de sesión","Forzar HTTPS en release; usar --dart-define=API_BASE_URL y ALLOW_CLEARTEXT=false; separar flavors y manifest overlay"
"Crítico","Android","android/app/src/main/AndroidManifest.xml","3-8","Seguridad/OWASP","Cleartext traffic permitido en Android","Permite sniffing/MITM de credenciales/tokens en redes públicas","Deshabilitar cleartext en release y limitarlo a debug/staging; usar network_security_config con dominios permitidos"
"Crítico","Core","lib/core/network/api_client.dart","20-108","Runtime/Resiliencia","Reintentos reusaban el mismo BaseRequest (stream consumido)","Fallas intermitentes en red; errores en producción difíciles de reproducir","Clonar request por intento y mantener headers consistentes; añadir pruebas unitarias de retry/refresh"
"Alto","Data/Auth","lib/data/providers/auth_service.dart","49-220","Seguridad/OWASP","Logs con payloads/perfiles y respuestas crudas (PII/tokens)","Exposición de PII/tokens en logs, Crashlytics o dispositivos compartidos","Eliminar logs sensibles o limitar a kDebugMode; sanitizar mensajes"
"Alto","Data/Catalog","lib/data/providers/catalog_service.dart","421-517","Seguridad/Robustez","Log de body parcial en cada request","Exposición de datos de negocio y mensajes internos","Limitar a kDebugMode; no imprimir payloads en release"
"Alto","Core/Routing","lib/core/routes/app_routes.dart","46-150","Autorización","Guard solo para /admin; acceso a /client y /provider sin validación","Riesgo de exposición de pantallas/datos y flujos no autorizados","Implementar guards por rol y sesión para /client y /provider; fallback a login"
"Alto","Proveedor","lib/data/providers/provider_booking_service.dart","4-195","Data Integrity","Reservas/solicitudes en memoria (mock DB)","Datos no reales; divergencia con backend; pruebas no reflejan producción","Definir endpoints backend de reservas; reemplazar por servicio API con persistencia"
"Alto","Proveedor","lib/presentation/views/provider/provider_home_screen.dart","48-110","Funcionalidad","ID de proveedor dependía de shape de perfil; fallaba en runtime","Bloqueo de módulo proveedor ('No se pudo verificar tu ID...')","Extraer proveedorId desde perfil o claims JWT; persistir si backend lo entrega"
"Medio","Core/UX","lib/main.dart","27-33","UX/Consistencia","ThemeMode fijo en light; no hay persistencia de tema","Modo oscuro no funciona; inconsistencia visual","Reintroducir gestor de tema persistente (SharedPreferences) y aplicar ThemeMode.system/usuario"
"Medio","Data/API","lib/data/providers/auth_service.dart","307-347","API/Contratos","Inconsistencia de path casing (/Solicitud vs /solicitud)","Riesgo de 404 por case-sensitive proxies/gateways","Normalizar paths; centralizar constants de endpoints; documentar"
"Medio","Admin/Catálogo","lib/presentation/views/admin/category_management_screen.dart","~900-1150","UX/Errores","Mensajes genéricos cuando el backend retorna no-JSON o HTML","Soporte difícil; usuario no entiende causa real","Asegurar fallback de mensaje por status; log interno solo en debug; mostrar message del JSON cuando exista"
"Bajo","General","lib/**","varios","Code Smell","Imports/fields no usados; APIs deprecadas reportadas por flutter analyze","Deuda técnica y ruido en CI","Limpiar incrementalmente; migrar a RadioGroup y withValues; eliminar dead code"

